1,Jacob,19045,Sophia,22279
2,Mason,18953,Emma,20914
3,Ethan,17644,Isabella,19082
4,Noah,17323,Olivia,17296
5,William,16856,Ava,15518
6,Liam,16785,Emily,13631
7,Michael,16124,Abigail,12679
8,Jayden,16099,Mia,12004
9,Alexander,15219,Madison,11380
10,Aiden,14873,Elizabeth,9685
11,Daniel,14251,Chloe,9647
12,Matthew,13952,Ella,9185
13,Elijah,13833,Avery,8313
14,James,13393,Addison,8170
15,Anthony,13173,Aubrey,8039
16,Benjamin,12807,Lily,7950
17,Joshua,12632,Natalie,7887
18,Andrew,12599,Sofia,7823
19,Joseph,12524,Charlotte,7471
20,David,12507,Zoey,7457
21,Jackson,12468,Grace,7365
22,Logan,12455,Hannah,7269
23,Christopher,11873,Amelia,7238
24,Gabriel,11538,Harper,7184
25,Samuel,11433,Lillian,7150
26,Ryan,10931,Samantha,6916
27,Lucas,10692,Evelyn,6870
28,John,10607,Victoria,6853
29,Nathan,10406,Brooklyn,6776
30,Isaac,10032,Zoe,6445
31,Dylan,9979,Layla,6255
32,Caleb,9943,Hailey,5902
33,Christian,9603,Leah,5762
34,Jonathan,9343,Kaylee,5607
35,Landon,9335,Anna,5604
36,Carter,9246,Aaliyah,5499
37,Luke,8998,Gabriella,5487
38,Owen,8684,Allison,5417
39,Brayden,8492,Nevaeh,5368
40,Gavin,8247,Alexis,5341
41,Wyatt,8207,Audrey,5294
42,Isaiah,8136,Savannah,5183
43,Henry,8061,Sarah,5174
44,Eli,8051,Alyssa,5080
45,Hunter,8015,Claire,4943
46,Jack,7927,Taylor,4858
47,Evan,7890,Riley,4820
48,Jordan,7791,Camila,4789
49,Nicholas,7726,Arianna,4709
50,Tyler,7687,Ashley,4696
51,Aaron,7519,Brianna,4631
52,Jeremiah,7458,Sophie,4568
53,Julian,7364,Peyton,4464
54,Cameron,7350,Bella,4337
55,Levi,7211,Khloe,4305
56,Brandon,7023,Genesis,4295
57,Angel,7013,Alexa,4290
58,Austin,6988,Serenity,4217
59,Connor,6970,Kylie,4166
60,Adrian,6932,Aubree,4043
61,Robert,6929,Scarlett,4041
62,Charles,6925,Stella,3996
63,Thomas,6830,Maya,3964
64,Sebastian,6726,Katherine,3946
65,Colton,6347,Julia,3874
66,Jaxon,6298,Lucy,3806
67,Zachary,6248,Madelyn,3792
68,Ayden,6217,Autumn,3768
69,Kevin,6215,Makayla,3762
70,Dominic,6174,Kayla,3760
71,Blake,6029,Mackenzie,3753
72,Jose,6028,Lauren,3655
73,Oliver,5913,Gianna,3617
74,Justin,5877,Ariana,3576
75,Bentley,5861,Faith,3527
