1,Jacob,24832,Emily,21393
2,Michael,22628,Emma,19107
3,Joshua,22308,Madison,18614
4,Ethan,20501,Isabella,18218
5,Matthew,20321,Ava,16937
6,Daniel,20051,Abigail,15625
7,Andrew,19707,Olivia,15491
8,Christopher,19668,Hannah,14539
9,Anthony,19395,Sophia,13496
10,William,18946,Samantha,12457
11,Joseph,18431,Elizabeth,12417
12,Alexander,18215,Ashley,12340
13,David,17614,Mia,12021
14,Ryan,16424,Alexis,11222
15,Noah,16324,Sarah,11144
16,James,16228,Grace,10965
17,Nicholas,15665,Natalie,10942
18,Tyler,15532,Chloe,10396
19,John,15153,Alyssa,10169
20,Logan,15140,Brianna,9361
21,Christian,14469,Ella,9204
22,Jonathan,14367,Anna,8600
23,Nathan,14270,Taylor,8556
24,Benjamin,13751,Lauren,8493
25,Samuel,13625,Hailey,8420
26,Dylan,13161,Kayla,8223
27,Brandon,12673,Victoria,7644
28,Gabriel,12530,Addison,7620
29,Elijah,12038,Jasmine,7516
30,Jose,11595,Savannah,7081
31,Angel,11594,Julia,6882
32,Aiden,11577,Jessica,6809
33,Zachary,11001,Lily,6764
34,Caleb,10989,Sydney,6513
35,Jackson,10889,Morgan,6490
36,Jack,10836,Destiny,6303
37,Kevin,10774,Katherine,6293
38,Gavin,10474,Lillian,6229
39,Isaiah,10440,Alexa,6110
40,Mason,10407,Alexandra,6097
41,Austin,10282,Kaitlyn,6070
42,Evan,10127,Kaylee,5987
43,Luke,10082,Nevaeh,5934
44,Aidan,10031,Brooke,5745
45,Justin,9963,Makayla,5643
46,Jordan,9918,Maria,5594
47,Robert,9893,Allison,5560
48,Isaac,9669,Rachel,5524
49,Jayden,9620,Angelina,5517
50,Landon,9567,Gabriella,5368
51,Thomas,9505,Jennifer,5267
52,Cameron,8847,Avery,5247
53,Connor,8666,Mackenzie,5202
54,Hunter,8565,Zoe,5152
55,Jason,8440,Sofia,5078
56,Diego,8397,Riley,5052
57,Aaron,8291,Maya,5045
