1,Noah,19229,Emma,20886
2,Liam,18421,Olivia,19761
3,Mason,17157,Sophia,18563
4,Jacob,16812,Isabella,17027
5,William,16776,Ava,15660
6,Ethan,15691,Mia,13484
7,Michael,15400,Emily,12622
8,Alexander,15362,Abigail,12049
9,James,14383,Madison,10291
10,Daniel,13887,Charlotte,10094
11,Elijah,13763,Harper,9601
12,Benjamin,13761,Sofia,9576
13,Logan,13615,Avery,9552
14,Aiden,13365,Elizabeth,9537
15,Jayden,12923,Amelia,8770
16,Matthew,12866,Evelyn,8734
17,Jackson,12183,Ella,8525
18,David,12159,Chloe,8507
19,Lucas,12132,Victoria,7981
20,Joseph,12080,Aubrey,7616
21,Anthony,11538,Grace,7602
22,Andrew,11124,Zoey,7384
23,Samuel,10948,Natalie,7089
24,Gabriel,10881,Addison,6974
25,Joshua,10843,Lillian,6898
26,John,10659,Brooklyn,6791
27,Carter,10647,Lily,6760
28,Luke,10480,Hannah,6551
29,Dylan,10394,Layla,6442
30,Christopher,10322,Scarlett,5994
31,Isaac,9938,Aria,5912
32,Oliver,9411,Zoe,5857
33,Henry,9406,Samantha,5709
34,Sebastian,9281,Anna,5663
35,Caleb,9187,Leah,5590
36,Owen,9135,Audrey,5555
37,Ryan,9056,Ariana,5478
38,Nathan,8937,Allison,5456
39,Wyatt,8847,Savannah,5455
40,Hunter,8791,Arianna,5255
41,Jack,8726,Camila,5211
42,Christian,8429,Penelope,5078
43,Landon,8205,Gabriella,5071
44,Jonathan,8075,Claire,5007
45,Levi,8013,Aaliyah,4871
46,Jaxon,7675,Sadie,4849
47,Julian,7648,Riley,4782
48,Isaiah,7583,Skylar,4757
49,Eli,7469,Nora,4731
50,Aaron,7368,Sarah,4682
51,Charles,7315,Hailey,4603
52,Connor,7215,Kaylee,4535
53,Cameron,7036,Paisley,4489
54,Thomas,7002,Kennedy,4482
55,Jordan,6834,Ellie,4468
56,Jeremiah,6829,Peyton,4441
57,Nicholas,6744,Annabelle,4343
58,Evan,6694,Caroline,4337
59,Adrian,6675,Serenity,4309
60,Robert,6612,Madelyn,4303
61,Gavin,6603,Lucy,4286
62,Brayden,6560,Aubree,4266
63,Grayson,6556,Alexa,4243
64,Josiah,6414,Nevaeh,4213
65,Colton,6368,Alexis,4208
66,Austin,6295,Stella,4185
67,Angel,6284,Violet,4172
68,Jace,6276,Genesis,4155
69,Dominic,6228,Mackenzie,4142
70,Kevin,5877,Bella,4067
71,Brandon,5829,Autumn,4051
72,Tyler,5811,Mila,4047
73,Parker,5697,Kylie,3948
74,Ayden,5604,Maya,3932
75,Jason,5539,Piper,3854
76,Jose,5467,Alyssa,3816
77,Ian,5438,Taylor,3798
78,Chase,5340,Eleanor,3722
79,Adam,5318,Faith,3696
80,Hudson,5229,Naomi,3695
81,Nolan,5196,Melanie,3690
