1,Jacob,22574,Emma,18803
2,Michael,20601,Isabella,18607
3,Ethan,20198,Emily,17422
4,Joshua,19188,Olivia,17072
5,Daniel,18993,Ava,17030
6,Alexander,18685,Madison,17020
7,William,18383,Sophia,16075
8,Anthony,18382,Abigail,15073
9,Christopher,17936,Elizabeth,11990
10,Matthew,17576,Chloe,11818
11,Jayden,17133,Samantha,11175
12,Andrew,16747,Addison,10755
13,Joseph,16550,Natalie,10195
14,David,16307,Mia,10166
15,Noah,15778,Alexis,9714
16,Aiden,15573,Alyssa,9631
17,James,15158,Hannah,9556
18,Ryan,14675,Ashley,9402
19,Logan,13843,Ella,9347
20,John,13310,Grace,9032
21,Nathan,13250,Sarah,9032
22,Elijah,13217,Taylor,8332
23,Christian,13049,Brianna,8253
24,Gabriel,13019,Lily,8114
25,Benjamin,12940,Hailey,7861
26,Jonathan,12879,Anna,7262
27,Samuel,12745,Victoria,7115
28,Tyler,12690,Kayla,6828
29,Nicholas,12512,Lillian,6806
30,Gavin,11742,Lauren,6448
31,Dylan,11695,Kaylee,6292
32,Jackson,11630,Allison,6238
33,Brandon,11466,Savannah,6121
34,Caleb,10563,Nevaeh,6092
35,Mason,10474,Gabriella,6024
36,Angel,10347,Sofia,5980
37,Isaac,10014,Makayla,5944
38,Evan,9920,Avery,5828
39,Jack,9892,Riley,5763
40,Jose,9811,Leah,5624
41,Kevin,9788,Julia,5615
42,Isaiah,9649,Aubrey,5562
43,Luke,9412,Jasmine,5516
44,Justin,9352,Audrey,5437
45,Landon,9348,Katherine,5343
46,Lucas,9320,Morgan,5333
47,Zachary,9222,Brooklyn,5305
48,Jordan,9077,Destiny,5302
49,Robert,8821,Sydney,5257
50,Aaron,8536,Alexa,5223
51,Brayden,8429,Kylie,5189
52,Thomas,8353,Brooke,5180
53,Cameron,8284,Kaitlyn,5113
54,Hunter,8031,Evelyn,5094
55,Austin,7980,Layla,4927
56,Adrian,7923,Madeline,4816
57,Connor,7811,Kimberly,4809
58,Owen,7793,Zoe,4779
59,Aidan,7695,Jessica,4732
60,Jason,7649,Peyton,4730
61,Julian,7456,Alexandra,4608
62,Wyatt,7307,Claire,4598
63,Charles,7278,Maria,4583
64,Luis,7130,Madelyn,4562
65,Carter,7059,Mackenzie,4472
66,Juan,7028,Arianna,4417
67,Chase,6996,Jocelyn,4366
68,Jeremiah,6575,Amelia,4345
69,Diego,6569,Angelina,4296
70,Brody,6297,Trinity,4267
71,Xavier,6274,Maya,4263
72,Adam,6088,Andrea,4259
73,Carlos,6045,Valeria,4204
74,Sebastian,6034,Rachel,4077
75,Liam,5976,Sophie,4062
76,Hayden,5942,Aaliyah,4038
77,Nathaniel,5847,Mariah,4031
78,Henry,5776,Vanessa,4029
79,Jesus,5754,Gabrielle,4020
80,Ian,5720,Katelyn,3974
81,Tristan,5654,Ariana,3906
82,Bryan,5503,Bailey,3897
83,Sean,5463,Camila,3844
84,Alex,5393,Jennifer,3791
85,Cole,5386,Melanie,3712
86,Eric,5372,Charlotte,3667
87,Brian,5255,Gianna,3666
88,Jaden,5185,Autumn,3656
89,Carson,5126,Paige,3640
90,Blake,5093,Faith,3621
91,Ayden,5054,Payton,3606
